"Race","Name","Age","Time","Pace","Division","PiD/TiD","Hometown","Year"
"1973 10M","Doug Clark (M)",17,"0:55:14","5:31","M0119","NR","NR",1973
"1973 10M","Bennett Beach (M)",23,"1:01:11","6:07","M2024","NR","Washington, DC",1973
"1974 10M","Jack Mahurin (M)",31,"0:50:50","5:05","M3034","NR","NR",1974
"1974 10M","Carol Fridley (W)",25,"1:02:48","6:17","W2529","NR","NR",1974
"1974 10M","Bynum Merritt (M)",17,"0:52:07","5:13","M0119","NR","NR",1974
"1974 10M","Aileen O'Connor (W)",13,"1:05:19","6:32","W0119","NR","NR",1974
