"STATION","NAME","DATE","ACMH","ACSH","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDFG","WDFM","WESD","WSF1","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT14","WT16","WT18"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-28","   90","  100"," 1336","0.00","   27","0.0","0.0",,"60","49","  222",,"  270","  270",,,"41.4","29.1",,,,,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-29","   10","    0"," 1200","0.00","   99","0.0","0.0",,"67","41","  822",,"  315","  315",,,"26.4","19.9",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-30","   90","  100"," 0930","0.00","   30","0.0","0.0",,"64","45","  252",,"   90","   90",,,"11.4","8.1",,,,,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-01","   70","   70"," 1606","0.00","   80","0.0","0.0",,"78","49","  666",,"  180","  180",,,"19.5","12.1",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-02","   90","   90"," 1512","0.00","   55","0.0","0.0",,"83","60","  462",,"  180","  180",,,"28.9","19.9",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-03","  100","  100"," 1136","0.41","    6","0.0","0.0",,"71","56","   48",,"  270","  270",,,"26.4","19.0",,,"    1",,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-04","   70","   70"," 1524","0.00","   46","0.0","0.0",,"61","45","  384",,"  315","  360",,,"41.4","30.0",,,,,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-05","   40","   60"," 0918","0.00","   72","0.0","0.0",,"64","42","  606",,"  315","  315",,,"35.6","25.9",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-06","   50","   60"," 1306","0.00","   90","0.0","0.0",,"73","48","  756",,"  360","  315",,,"23.0","17.0",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-07","   50","   40"," 1736","0.00","   94","0.0","0.0",,"78","49","  786",,"  135","  135",,,"21.9","17.9",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-08","  100","  100"," 2318","0.38","    3","0.0","0.0",,"71","59","   24",,"  180","  180",,,"23.0","16.1",,,,,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-09","   60","   70"," 0200","0.02","   59","0.0","0.0",,"78","60","  498",,"  180","  180",,,"23.0","16.1","    1",,,,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-10","   30","   50"," 1624","0.00","   87","0.0","0.0",,"82","54","  738",,"  180","  180",,,"20.8","16.1",,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-11","   30","   40"," 1300","0.12","   89","0.0","0.0",,"80","59","  762",,"  270","  270",,,"34.4","25.1",,,"    1",,"    1",,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-12","   30","   40"," 1724","0.00","   80","0.0","0.0",,"77","52","  678",,"  360","  360",,,"35.6","25.1",,,,,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-13","   50","   40"," 1342","0.00","   79","0.0","0.0",,"72","54","  672",,"  315","  315",,,"19.5","16.1",,,,,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-14","   90","   90"," 1754","0.03","   31","0.0","0.0",,"71","58","  270",,"   45","   45",,,"16.1","15.0",,,,,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-15","   80","   90"," 2030","0.08","   29","0.0","0.0",,"67","49","  252",,"  315","  315",,,"26.4","19.0","    1",,,,,,,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-16","    0","   10"," 1448","0.00","  100","0.0","0.0",,"69","41","  858",,"  180","  180",,,"25.3","16.1",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-17","   50","   80"," 1554","0.09","   57","0.0","0.0",,"73","43","  492",,"  315","  315",,,"30.0","21.9",,,,,,,,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-18","   30","   40"," 1030","0.00","   75","0.0","0.0",,"65","40","  648",,"  270","  225",,,"28.9","17.9",,,,,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-19","   70","   70"," 1442","0.00","   72","0.0","0.0",,"76","45","  618",,"  180","  180",,,"17.2","12.1",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-20","   90","  100"," 0006","0.14","    2","0.0","0.0",,"66","58","   18",,"  180","  135",,,"16.1","14.1","    1",,,,,,,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-21","   40","   40"," 1112","0.00","   76","0.0","0.0",,"73","55","  660",,"  315","  315",,,"32.2","27.1",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-22","   40","   30"," 1200","0.00","   79","0.0","0.0",,"81","50","  684",,"  315","  315",,,"21.9","16.1",,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-23","  100","  100"," 2318","0.43","    0","0.0","0.0",,"67","58","    0",,"  360","   45",,,"16.1","16.1","    1",,,,,,,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-24","  100","  100"," 1724","0.71","    1","0.0","0.0",,"63","55","    6",,"   90","   45",,,"20.8","17.0","    1",,,,,,,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-25","  100","  100"," 0806","0.01","    0","0.0","0.0",,"57","53","    0",,"   45","   45",,,"25.3","19.9","    1",,,,,,,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-26","  100","  100"," 0948","0.00","    0","0.0","0.0",,"59","55","    0",,"  135","  135",,,"13.9","12.1","    1",,,,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-27","  100","  100"," 1512","0.19","    0","0.0","0.0",,"63","55","    0",,"   90","   45",,,"16.1","13.0","    1",,,,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-28","  100","  100"," 1754","0.78","   25","0.0","0.0",,"80","62","  216",,"  180","  180",,,"30.0","19.0","    1",,,,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-29","   80","   90"," 0130","0.00","   71","0.0","0.0",,"85","68","  630",,"  180","  225",,,"28.9","19.0",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-30","   60","   60"," 1854","0.00","   80","0.0","0.0",,"82","62","  702",,"  315","  315",,,"33.3","25.9",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-05-31","   60","   50"," 0954","0.00","   78","0.0","0.0",,"77","57","  684",,"  270","  270",,,"23.0","16.1",,,,,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-01","   20","   20"," 1142","0.00","   92","0.0","0.0",,"80","55","  810",,"  225","  225",,,"19.5","13.0",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-02","    0","   10"," 1542","0.00","   96","0.0","0.0",,"84","58","  846",,"  135","  225",,,"15.0","10.1",,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-03","   70","   90"," 1512","0.00","   67","0.0","0.0",,"86","64","  594",,"  270","  315",,,"12.8","10.1",,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-04","   70","   50"," 1742","0.12","   69","0.0","0.0",,"91","67","  612",,"  315","  315",,,"36.7","30.0","    1",,"    1",,,,,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-05","   20","   20"," 1130","0.00","   94","0.0","0.0",,"90","67","  834",,"  180","  180",,,"18.3","13.0",,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-06","   60","   80"," 1618","0.00","   82","0.0","0.0",,"88","72","  732",,"  180","  180",,,"27.5","17.9",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-07","   50","   60"," 0230","0.00","   52","0.0","0.0",,"83","72","  462",,"  180","  180",,,"18.3","13.0",,,,,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-08","   30","   30"," 1600","0.00","   74","0.0","0.0",,"91","68","  654",,"  180","  180",,,"18.3","13.0",,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-09","   60","   70"," 1424","0.00","   91","0.0","0.0",,"93","73","  804",,"  225","  225",,,"26.4","17.9",,,,,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-10","   10","   20"," 1354","0.00","   89","0.0","0.0",,"93","72","  792",,"  225","  225",,,"15.0","10.1",,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-11","   10","   10"," 1542","0.00","   77","0.0","0.0",,"93","74","  690",,"  180","  225",,,"21.9","13.0",,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-12","   40","   40"," 1442","0.00","   84","0.0","0.0",,"92","74","  750",,"  225","  225",,,"24.2","17.0",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-13","   70","   70"," 1218","0.00","   76","0.0","0.0",,"89","74","  678",,"  360","  315",,,"23.0","17.0",,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-14","   20","   20"," 1400","0.00","   98","0.0","0.0",,"85","67","  876",,"  315","  315",,,"26.4","17.0",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-15","   40","   60"," 2312","0.00","   98","0.0","0.0",,"85","61","  876",,"  180","  180",,,"20.8","15.0",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-16","   80","   90"," 1618","0.07","   40","0.0","0.0",,"86","70","  354",,"  225","  225",,,"27.5","19.0",,,,,,,,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-06-17","   90","   90"," 0830","0.00","   13","0.0","0.0",,"77","65","  120",,"   45","   45",,,"21.9","19.9",,,,,,,,"    1",,,"    1",
